club_id,club,confederation,country,uefa_rating,uefa_season_ranking,overall_uefa_rating,overall_uefa_club_rank,season
161,Loko Plovdiv,UEFA,Bulgaria,-1,-1,2,95,2023_2024
162,Lokomotiv Sofia,,,-1,-1,-1,-1,
162,Lokomotiv Sofia,,,-1,-1,-1,-1,
162,Lokomotiv Sofia,,,-1,-1,-1,-1,
163,Lorient,,,-1,-1,-1,-1,
163,Lorient,,,-1,-1,-1,-1,
163,Lorient,,,-1,-1,-1,-1,
164,Ludogorets,UEFA,Bulgaria,3,58,17,53,2021_2022
164,Ludogorets,UEFA,Bulgaria,5,53,17,53,2022_2023
164,Ludogorets,UEFA,Bulgaria,9,39,17,53,2023_2024
165,Luton Town,,,-1,-1,-1,-1,
166,Lyngby,UEFA,Denmark,-1,-1,0,102,2022_2023
166,Lyngby,UEFA,Denmark,-1,-1,0,102,2023_2024
167,Lyon,UEFA,France,21,11,21,49,2021_2022
167,Lyon,UEFA,France,-1,-1,21,49,2022_2023
167,Lyon,UEFA,France,-1,-1,21,49,2023_2024
168,Mainz 05,UEFA,Germany,-1,-1,0,102,2021_2022
168,Mainz 05,UEFA,Germany,-1,-1,0,102,2022_2023
168,Mainz 05,UEFA,Germany,-1,-1,0,102,2023_2024
169,Mallorca,,,-1,-1,-1,-1,
169,Mallorca,,,-1,-1,-1,-1,
169,Mallorca,,,-1,-1,-1,-1,
170,Manchester City,UEFA,England,27,4,88,2,2021_2022
170,Manchester City,UEFA,England,33,1,88,2,2022_2023
170,Manchester City,UEFA,England,28,4,88,2,2023_2024
171,Manchester Utd,UEFA,England,18,17,44,24,2021_2022
171,Manchester Utd,UEFA,England,19,13,44,24,2022_2023
171,Manchester Utd,UEFA,England,7,43,44,24,2023_2024
172,Marseille,UEFA,France,16,22,42,27,2021_2022
172,Marseille,UEFA,France,8,42,42,27,2022_2023
172,Marseille,UEFA,France,18,18,42,27,2023_2024
173,Marítimo,UEFA,Portugal,-1,-1,0,102,2021_2022
173,Marítimo,UEFA,Portugal,-1,-1,0,102,2022_2023
174,Mechelen,,,-1,-1,-1,-1,
174,Mechelen,,,-1,-1,-1,-1,
174,Mechelen,,,-1,-1,-1,-1,
175,Metalac GM,,,-1,-1,-1,-1,
176,Metz,,,-1,-1,-1,-1,
176,Metz,,,-1,-1,-1,-1,
177,Midtjylland,UEFA,Denmark,7,47,17,51,2021_2022
177,Midtjylland,UEFA,Denmark,8,42,17,51,2022_2023
177,Midtjylland,UEFA,Denmark,2,63,17,51,2023_2024
178,Miedź Legnica,,,-1,-1,-1,-1,
179,Milan,UEFA,Italy,7,47,47,19,2021_2022
179,Milan,UEFA,Italy,24,8,47,19,2022_2023
179,Milan,UEFA,Italy,16,27,47,19,2023_2024
180,Mladost Lučani,UEFA,Serbia,-1,-1,0,102,2021_2022
180,Mladost Lučani,UEFA,Serbia,-1,-1,0,102,2022_2023
180,Mladost Lučani,UEFA,Serbia,-1,-1,0,102,2023_2024
181,Monaco,,,-1,-1,-1,-1,
181,Monaco,,,-1,-1,-1,-1,
181,Monaco,,,-1,-1,-1,-1,
182,Montpellier,,,-1,-1,-1,-1,
182,Montpellier,,,-1,-1,-1,-1,
182,Montpellier,,,-1,-1,-1,-1,
183,Monza,,,-1,-1,-1,-1,
183,Monza,,,-1,-1,-1,-1,
184,Moreirense,,,-1,-1,-1,-1,
184,Moreirense,,,-1,-1,-1,-1,
185,NEC Nijmegen,,,-1,-1,-1,-1,
185,NEC Nijmegen,,,-1,-1,-1,-1,
185,NEC Nijmegen,,,-1,-1,-1,-1,
186,Nantes,UEFA,France,-1,-1,8,68,2021_2022
186,Nantes,UEFA,France,8,42,8,68,2022_2023
186,Nantes,UEFA,France,-1,-1,8,68,2023_2024
187,Napoli,UEFA,Italy,9,41,51,15,2021_2022
187,Napoli,UEFA,Italy,25,6,51,15,2022_2023
187,Napoli,UEFA,Italy,17,22,51,15,2023_2024
188,Napredak Kruš,,,-1,-1,-1,-1,
188,Napredak Kruš,,,-1,-1,-1,-1,
188,Napredak Kruš,,,-1,-1,-1,-1,
189,Newcastle Utd,UEFA,England,-1,-1,8,68,2021_2022
189,Newcastle Utd,UEFA,England,-1,-1,8,68,2022_2023
189,Newcastle Utd,UEFA,England,8,41,8,68,2023_2024
190,Nice,UEFA,France,-1,-1,14,56,2021_2022
190,Nice,UEFA,France,14,31,14,56,2022_2023
190,Nice,UEFA,France,-1,-1,14,56,2023_2024
191,Nordsjælland,UEFA,Denmark,-1,-1,7,73,2021_2022
191,Nordsjælland,UEFA,Denmark,-1,-1,7,73,2022_2023
191,Nordsjælland,UEFA,Denmark,7,43,7,73,2023_2024
192,Norwich City,,,-1,-1,-1,-1,
193,Nott'ham Forest,,,-1,-1,-1,-1,
193,Nott'ham Forest,,,-1,-1,-1,-1,
194,Novi Pazar,,,-1,-1,-1,-1,
194,Novi Pazar,,,-1,-1,-1,-1,
194,Novi Pazar,,,-1,-1,-1,-1,
195,OFI Crete,UEFA,Greece,-1,-1,0,102,2021_2022
195,OFI Crete,UEFA,Greece,-1,-1,0,102,2022_2023
195,OFI Crete,UEFA,Greece,-1,-1,0,102,2023_2024
196,OH Leuven,,,-1,-1,-1,-1,
196,OH Leuven,,,-1,-1,-1,-1,
196,OH Leuven,,,-1,-1,-1,-1,
197,Odense,,,-1,-1,-1,-1,
197,Odense,,,-1,-1,-1,-1,
197,Odense,,,-1,-1,-1,-1,
198,Olympiacos,UEFA,Greece,8,45,28,43,2021_2022
198,Olympiacos,UEFA,Greece,3,56,28,43,2022_2023
198,Olympiacos,UEFA,Greece,17,22,28,43,2023_2024
199,Oostende,UEFA,Belgium,-1,-1,0,102,2021_2022
199,Oostende,UEFA,Belgium,-1,-1,0,102,2022_2023
200,Osasuna,UEFA,Spain,-1,-1,2,90,2021_2022
200,Osasuna,UEFA,Spain,-1,-1,2,90,2022_2023
200,Osasuna,UEFA,Spain,2,63,2,90,2023_2024
201,PAOK,UEFA,Greece,13,31,29,42,2021_2022
201,PAOK,UEFA,Greece,1,72,29,42,2022_2023
201,PAOK,UEFA,Greece,15,29,29,42,2023_2024
202,PAS Giannina,UEFA,Greece,-1,-1,0,102,2021_2022
202,PAS Giannina,UEFA,Greece,-1,-1,0,102,2022_2023
202,PAS Giannina,UEFA,Greece,-1,-1,0,102,2023_2024
203,PAS Lamia,,,-1,-1,-1,-1,
203,PAS Lamia,,,-1,-1,-1,-1,
203,PAS Lamia,,,-1,-1,-1,-1,
204,PFC Hebar Pazardzhik,,,-1,-1,-1,-1,
204,PFC Hebar Pazardzhik,,,-1,-1,-1,-1,
205,PSV Eindhoven,UEFA,Netherlands,10,38,38,32,2021_2022
205,PSV Eindhoven,UEFA,Netherlands,11,36,38,32,2022_2023
205,PSV Eindhoven,UEFA,Netherlands,17,22,38,32,2023_2024
206,Panathinaikos,UEFA,Greece,-1,-1,5,78,2021_2022
206,Panathinaikos,UEFA,Greece,2,66,5,78,2022_2023
206,Panathinaikos,UEFA,Greece,3,57,5,78,2023_2024
207,Panetolikos,,,-1,-1,-1,-1,
207,Panetolikos,,,-1,-1,-1,-1,
207,Panetolikos,,,-1,-1,-1,-1,
208,Panserraikos,,,-1,-1,-1,-1,
209,Paris S-G,UEFA,France,19,15,61,10,2021_2022
209,Paris S-G,UEFA,France,19,13,61,10,2022_2023
209,Paris S-G,UEFA,France,23,8,61,10,2023_2024
210,Partizan,,,-1,-1,-1,-1,
210,Partizan,,,-1,-1,-1,-1,
210,Partizan,,,-1,-1,-1,-1,
211,Paços,,,-1,-1,-1,-1,
211,Paços,,,-1,-1,-1,-1,
212,Pendikspor,,,-1,-1,-1,-1,
213,Piast Gliwice,UEFA,Poland,-1,-1,0,102,2021_2022
213,Piast Gliwice,UEFA,Poland,-1,-1,0,102,2022_2023
213,Piast Gliwice,UEFA,Poland,-1,-1,0,102,2023_2024
214,Pirin Blagoevgrad,,,-1,-1,-1,-1,
214,Pirin Blagoevgrad,,,-1,-1,-1,-1,
214,Pirin Blagoevgrad,,,-1,-1,-1,-1,
215,Pogoń Szczecin,UEFA,Poland,1,69,5,78,2021_2022
215,Pogoń Szczecin,UEFA,Poland,1,72,5,78,2022_2023
215,Pogoń Szczecin,UEFA,Poland,2,70,5,78,2023_2024
216,Portimonense,,,-1,-1,-1,-1,
216,Portimonense,,,-1,-1,-1,-1,
216,Portimonense,,,-1,-1,-1,-1,
217,Porto,UEFA,Portugal,10,38,47,19,2021_2022
217,Porto,UEFA,Portugal,18,19,47,19,2022_2023
217,Porto,UEFA,Portugal,19,16,47,19,2023_2024
218,Proleter NS,,,-1,-1,-1,-1,
219,Puszcza Niepołomice,,,-1,-1,-1,-1,
220,R.F.C. Seraing,,,-1,-1,-1,-1,
220,R.F.C. Seraing,,,-1,-1,-1,-1,
221,RB Leipzig,UEFA,Germany,17,19,53,13,2021_2022
221,RB Leipzig,UEFA,Germany,18,19,53,13,2022_2023
221,RB Leipzig,UEFA,Germany,18,18,53,13,2023_2024
222,RB Salzburg,UEFA,Austria,17,19,33,37,2021_2022
222,RB Salzburg,UEFA,Austria,9,40,33,37,2022_2023
222,RB Salzburg,UEFA,Austria,7,43,33,37,2023_2024
223,RKC Waalwijk,,,-1,-1,-1,-1,
223,RKC Waalwijk,,,-1,-1,-1,-1,
223,RKC Waalwijk,,,-1,-1,-1,-1,
224,RKS Raków,UEFA,Poland,2,61,8,68,2021_2022
224,RKS Raków,UEFA,Poland,2,57,8,68,2022_2023
224,RKS Raków,UEFA,Poland,3,57,8,68,2023_2024
225,RWD Molenbeek,,,-1,-1,-1,-1,
226,Radnik Surdulica,,,-1,-1,-1,-1,
226,Radnik Surdulica,,,-1,-1,-1,-1,
226,Radnik Surdulica,,,-1,-1,-1,-1,
227,Radnički Kragujevac,UEFA,Serbia,-1,-1,0,102,2021_2022
227,Radnički Kragujevac,UEFA,Serbia,-1,-1,0,102,2022_2023
227,Radnički Kragujevac,UEFA,Serbia,-1,-1,0,102,2023_2024
228,Radnički Niš,,,-1,-1,-1,-1,
228,Radnički Niš,,,-1,-1,-1,-1,
228,Radnički Niš,,,-1,-1,-1,-1,
229,Radomiak Radom,,,-1,-1,-1,-1,
229,Radomiak Radom,,,-1,-1,-1,-1,
229,Radomiak Radom,,,-1,-1,-1,-1,
230,Randers,UEFA,Denmark,7,47,7,73,2021_2022
230,Randers,UEFA,Denmark,-1,-1,7,73,2022_2023
230,Randers,UEFA,Denmark,-1,-1,7,73,2023_2024
231,Rapid Wien,UEFA,Austria,4,54,9,66,2021_2022
231,Rapid Wien,UEFA,Austria,2,57,9,66,2022_2023
231,Rapid Wien,UEFA,Austria,2,63,9,66,2023_2024
232,Rayo Vallecano,,,-1,-1,-1,-1,
232,Rayo Vallecano,,,-1,-1,-1,-1,
232,Rayo Vallecano,,,-1,-1,-1,-1,
233,Real Madrid,UEFA,Spain,30,2,93,1,2021_2022
233,Real Madrid,UEFA,Spain,29,2,93,1,2022_2023
233,Real Madrid,UEFA,Spain,34,1,93,1,2023_2024
234,Real Sociedad,UEFA,Spain,9,41,43,26,2021_2022
234,Real Sociedad,UEFA,Spain,16,27,43,26,2022_2023
234,Real Sociedad,UEFA,Spain,18,18,43,26,2023_2024
235,Red Star,UEFA,Serbia,15,26,24,46,2021_2022
235,Red Star,UEFA,Serbia,4,54,24,46,2022_2023
235,Red Star,UEFA,Serbia,5,54,24,46,2023_2024
236,Reims,UEFA,France,-1,-1,0,102,2021_2022
236,Reims,UEFA,France,-1,-1,0,102,2022_2023
236,Reims,UEFA,France,-1,-1,0,102,2023_2024
237,Rennes,,,-1,-1,-1,-1,
237,Rennes,,,-1,-1,-1,-1,
237,Rennes,,,-1,-1,-1,-1,
238,Ried,,,-1,-1,-1,-1,
238,Ried,,,-1,-1,-1,-1,
239,Rio Ave,UEFA,Portugal,-1,-1,0,102,2022_2023
239,Rio Ave,UEFA,Portugal,-1,-1,0,102,2023_2024
240,Rizespor,,,-1,-1,-1,-1,
240,Rizespor,,,-1,-1,-1,-1,
241,Roma,UEFA,Italy,23,9,66,8,2021_2022
241,Roma,UEFA,Italy,22,9,66,8,2022_2023
241,Roma,UEFA,Italy,21,12,66,8,2023_2024
242,Ruch Chorzów,,,-1,-1,-1,-1,
243,SC Austria Lustenau,,,-1,-1,-1,-1,
243,SC Austria Lustenau,,,-1,-1,-1,-1,
244,SCR Altach,UEFA,Austria,-1,-1,0,102,2021_2022
244,SCR Altach,UEFA,Austria,-1,-1,0,102,2022_2023
244,SCR Altach,UEFA,Austria,-1,-1,0,102,2023_2024
245,SK Austria Klagenfurt,,,-1,-1,-1,-1,
245,SK Austria Klagenfurt,,,-1,-1,-1,-1,
245,SK Austria Klagenfurt,,,-1,-1,-1,-1,
246,Saint-Étienne,UEFA,France,-1,-1,0,102,2021_2022
247,Salernitana,,,-1,-1,-1,-1,
247,Salernitana,,,-1,-1,-1,-1,
247,Salernitana,,,-1,-1,-1,-1,
248,Sampdoria,,,-1,-1,-1,-1,
248,Sampdoria,,,-1,-1,-1,-1,
249,Samsunspor,,,-1,-1,-1,-1,
250,Santa Clara,UEFA,Portugal,2,61,2,90,2021_2022
250,Santa Clara,UEFA,Portugal,-1,-1,2,90,2022_2023
251,Sassuolo,UEFA,Italy,-1,-1,0,102,2021_2022
251,Sassuolo,UEFA,Italy,-1,-1,0,102,2022_2023
251,Sassuolo,UEFA,Italy,-1,-1,0,102,2023_2024
252,Schalke 04,UEFA,Germany,-1,-1,0,102,2022_2023
253,Septemvri Sofia,,,-1,-1,-1,-1,
254,Sevilla,UEFA,Spain,12,35,39,30,2021_2022
254,Sevilla,UEFA,Spain,21,10,39,30,2022_2023
254,Sevilla,UEFA,Spain,6,49,39,30,2023_2024
255,Sheffield Utd,,,-1,-1,-1,-1,
256,Silkeborg,UEFA,Denmark,-1,-1,4,85,2021_2022
256,Silkeborg,UEFA,Denmark,4,54,4,85,2022_2023
256,Silkeborg,UEFA,Denmark,-1,-1,4,85,2023_2024
257,Sint-Truiden,,,-1,-1,-1,-1,
257,Sint-Truiden,,,-1,-1,-1,-1,
257,Sint-Truiden,,,-1,-1,-1,-1,
258,Sivasspor,,,-1,-1,-1,-1,
258,Sivasspor,,,-1,-1,-1,-1,
258,Sivasspor,,,-1,-1,-1,-1,
259,Slavia Sofia,UEFA,Bulgaria,-1,-1,0,102,2021_2022
259,Slavia Sofia,UEFA,Bulgaria,-1,-1,0,102,2022_2023
259,Slavia Sofia,UEFA,Bulgaria,-1,-1,0,102,2023_2024
260,Southampton,UEFA,England,-1,-1,0,102,2021_2022
260,Southampton,UEFA,England,-1,-1,0,102,2022_2023
261,Sparta R'dam,,,-1,-1,-1,-1,
261,Sparta R'dam,,,-1,-1,-1,-1,
261,Sparta R'dam,,,-1,-1,-1,-1,
262,Spartak Subotic,UEFA,Serbia,-1,-1,0,102,2021_2022
262,Spartak Subotic,UEFA,Serbia,-1,-1,0,102,2022_2023
262,Spartak Subotic,UEFA,Serbia,-1,-1,0,102,2023_2024
263,Spezia,,,-1,-1,-1,-1,
263,Spezia,,,-1,-1,-1,-1,
264,Sporting CP,UEFA,Portugal,16,22,42,27,2021_2022
264,Sporting CP,UEFA,Portugal,14,31,42,27,2022_2023
264,Sporting CP,UEFA,Portugal,12,34,42,27,2023_2024
265,Stal Mielec,,,-1,-1,-1,-1,
265,Stal Mielec,,,-1,-1,-1,-1,
265,Stal Mielec,,,-1,-1,-1,-1,
266,Standard Liège,UEFA,Belgium,-1,-1,0,102,2021_2022
266,Standard Liège,UEFA,Belgium,-1,-1,0,102,2022_2023
266,Standard Liège,UEFA,Belgium,-1,-1,0,102,2023_2024
267,Strasbourg,UEFA,France,-1,-1,0,102,2021_2022
267,Strasbourg,UEFA,France,-1,-1,0,102,2022_2023
267,Strasbourg,UEFA,France,-1,-1,0,102,2023_2024
268,Sturm Graz,UEFA,Austria,3,58,12,62,2021_2022
268,Sturm Graz,UEFA,Austria,6,50,12,62,2022_2023
268,Sturm Graz,UEFA,Austria,3,57,12,62,2023_2024
269,Stuttgart,UEFA,Germany,-1,-1,0,102,2021_2022
269,Stuttgart,UEFA,Germany,-1,-1,0,102,2022_2023
269,Stuttgart,UEFA,Germany,-1,-1,0,102,2023_2024
270,SønderjyskE,UEFA,Denmark,-1,-1,0,102,2021_2022
271,TSC Bačka Top,UEFA,Serbia,-1,-1,3,88,2021_2022
271,TSC Bačka Top,UEFA,Serbia,-1,-1,3,88,2022_2023
271,TSC Bačka Top,UEFA,Serbia,3,57,3,88,2023_2024
272,Tondela,,,-1,-1,-1,-1,
273,Torino,UEFA,Italy,-1,-1,0,102,2021_2022
273,Torino,UEFA,Italy,-1,-1,0,102,2022_2023
273,Torino,UEFA,Italy,-1,-1,0,102,2023_2024
274,Tottenham,UEFA,England,5,52,23,47,2021_2022
274,Tottenham,UEFA,England,18,19,23,47,2022_2023
274,Tottenham,UEFA,England,-1,-1,23,47,2023_2024
275,Toulouse,UEFA,France,-1,-1,10,64,2022_2023
275,Toulouse,UEFA,France,10,35,10,64,2023_2024
276,Trabzonspor,,,-1,-1,-1,-1,
276,Trabzonspor,,,-1,-1,-1,-1,
276,Trabzonspor,,,-1,-1,-1,-1,
277,Troyes,,,-1,-1,-1,-1,
277,Troyes,,,-1,-1,-1,-1,
278,Tsarsko Selo,,,-1,-1,-1,-1,
279,Twente,UEFA,Netherlands,-1,-1,5,78,2021_2022
279,Twente,UEFA,Netherlands,2,57,5,78,2022_2023
279,Twente,UEFA,Netherlands,2,63,5,78,2023_2024
280,Udinese,,,-1,-1,-1,-1,
280,Udinese,,,-1,-1,-1,-1,
280,Udinese,,,-1,-1,-1,-1,
281,Union Berlin,UEFA,Germany,5,52,23,47,2021_2022
281,Union Berlin,UEFA,Germany,12,34,23,47,2022_2023
281,Union Berlin,UEFA,Germany,6,49,23,47,2023_2024
282,Union SG,UEFA,Belgium,-1,-1,25,45,2021_2022
282,Union SG,UEFA,Belgium,19,13,25,45,2022_2023
282,Union SG,UEFA,Belgium,6,49,25,45,2023_2024
283,Utrecht,UEFA,Netherlands,-1,-1,0,102,2021_2022
283,Utrecht,UEFA,Netherlands,-1,-1,0,102,2022_2023
283,Utrecht,UEFA,Netherlands,-1,-1,0,102,2023_2024
284,Valencia,UEFA,Spain,-1,-1,0,102,2021_2022
284,Valencia,UEFA,Spain,-1,-1,0,102,2022_2023
284,Valencia,UEFA,Spain,-1,-1,0,102,2023_2024
285,Valladolid,,,-1,-1,-1,-1,
286,Vejle BK,,,-1,-1,-1,-1,
286,Vejle BK,,,-1,-1,-1,-1,
287,Venezia,,,-1,-1,-1,-1,
288,Viborg,UEFA,Denmark,-1,-1,2,90,2021_2022
288,Viborg,UEFA,Denmark,2,57,2,90,2022_2023
288,Viborg,UEFA,Denmark,-1,-1,2,90,2023_2024
289,Villarreal,UEFA,Spain,24,7,52,14,2021_2022
289,Villarreal,UEFA,Spain,12,34,52,14,2022_2023
289,Villarreal,UEFA,Spain,16,27,52,14,2023_2024
290,Vitesse,UEFA,Netherlands,9,41,9,66,2021_2022
290,Vitesse,UEFA,Netherlands,-1,-1,9,66,2022_2023
290,Vitesse,UEFA,Netherlands,-1,-1,9,66,2023_2024
291,Vitória,UEFA,Portugal,-1,-1,3,86,2021_2022
291,Vitória,UEFA,Portugal,2,66,3,86,2022_2023
291,Vitória,UEFA,Portugal,1,75,3,86,2023_2024
292,Vizela,,,-1,-1,-1,-1,
292,Vizela,,,-1,-1,-1,-1,
292,Vizela,,,-1,-1,-1,-1,
293,Vojvodina,,,-1,-1,-1,-1,
293,Vojvodina,,,-1,-1,-1,-1,
293,Vojvodina,,,-1,-1,-1,-1,
294,Volendam,,,-1,-1,-1,-1,
294,Volendam,,,-1,-1,-1,-1,
295,Volos NFC,,,-1,-1,-1,-1,
295,Volos NFC,,,-1,-1,-1,-1,
295,Volos NFC,,,-1,-1,-1,-1,
296,Voždovac,,,-1,-1,-1,-1,
296,Voždovac,,,-1,-1,-1,-1,
296,Voždovac,,,-1,-1,-1,-1,
297,WSG Tirol,,,-1,-1,-1,-1,
297,WSG Tirol,,,-1,-1,-1,-1,
297,WSG Tirol,,,-1,-1,-1,-1,
298,Warta Poznań,,,-1,-1,-1,-1,
298,Warta Poznań,,,-1,-1,-1,-1,
298,Warta Poznań,,,-1,-1,-1,-1,
299,Watford,,,-1,-1,-1,-1,
300,Werder Bremen,,,-1,-1,-1,-1,
300,Werder Bremen,,,-1,-1,-1,-1,
301,West Ham,UEFA,England,21,11,69,6,2021_2022
301,West Ham,UEFA,England,29,2,69,6,2022_2023
301,West Ham,UEFA,England,19,16,69,6,2023_2024
302,Westerlo,,,-1,-1,-1,-1,
302,Westerlo,,,-1,-1,-1,-1,
303,Widzew Łódź,,,-1,-1,-1,-1,
303,Widzew Łódź,,,-1,-1,-1,-1,
304,Willem II,UEFA,Netherlands,-1,-1,0,102,2021_2022
305,Wisła Kraków,UEFA,Poland,-1,-1,0,102,2021_2022
306,Wisła Płock,,,-1,-1,-1,-1,
306,Wisła Płock,,,-1,-1,-1,-1,
307,Wolfsberger AC,UEFA,Austria,-1,-1,2,90,2021_2022
307,Wolfsberger AC,UEFA,Austria,2,57,2,90,2022_2023
307,Wolfsberger AC,UEFA,Austria,-1,-1,2,90,2023_2024
308,Wolfsburg,UEFA,Germany,8,45,8,68,2021_2022
308,Wolfsburg,UEFA,Germany,-1,-1,8,68,2022_2023
308,Wolfsburg,UEFA,Germany,-1,-1,8,68,2023_2024
309,Wolves,UEFA,England,-1,-1,0,102,2021_2022
309,Wolves,UEFA,England,-1,-1,0,102,2022_2023
309,Wolves,UEFA,England,-1,-1,0,102,2023_2024
310,Yeni Mal'spor,,,-1,-1,-1,-1,
311,Zagłębie Lubin,UEFA,Poland,-1,-1,0,102,2021_2022
311,Zagłębie Lubin,UEFA,Poland,-1,-1,0,102,2022_2023
311,Zagłębie Lubin,UEFA,Poland,-1,-1,0,102,2023_2024
312,Zulte Waregem,UEFA,Belgium,-1,-1,0,102,2021_2022
312,Zulte Waregem,UEFA,Belgium,-1,-1,0,102,2022_2023
313,Zwolle,,,-1,-1,-1,-1,
313,Zwolle,,,-1,-1,-1,-1,
314,Ümraniyespor,,,-1,-1,-1,-1,
315,Čukarički,,,-1,-1,-1,-1,
315,Čukarički,,,-1,-1,-1,-1,
315,Čukarički,,,-1,-1,-1,-1,
316,İstanbulspor,,,-1,-1,-1,-1,
316,İstanbulspor,,,-1,-1,-1,-1,
317,Łódzki KS,,,-1,-1,-1,-1,
318,Śląsk Wrocław,UEFA,Poland,2,65,2,95,2021_2022
318,Śląsk Wrocław,UEFA,Poland,-1,-1,2,95,2022_2023
318,Śląsk Wrocław,UEFA,Poland,-1,-1,2,95,2023_2024
