Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Leroy Abanda,fr FRA,"DF,MF",R.F.C. Seraing,22,2000,7.6,2,0,0,11,3,3,33,21,6,0,0,0,42,6,6,50.0,Matches
Francis Abu,gh GHA,MF,Cercle Brugge,21,2001,18.3,4,0,0,32,21,0,9,27,38,0,1,0,180,37,31,54.4,Matches
Simon Adingra,ci CIV,"DF,FW",Union SG,20,2002,21.2,1,1,0,20,21,13,94,12,15,1,1,0,111,4,5,44.4,Matches
Brian Agbor,cm CMR,"DF,MF",Gent,21,2001,0.7,0,0,0,0,0,0,1,3,1,0,0,0,6,1,1,50.0,Matches
Enock Agyei,be BEL,"FW,MF",Mechelen,17,2005,3.7,0,0,0,1,11,1,4,0,2,0,0,0,22,1,3,25.0,Matches
Halil Akbunar,tr TUR,"MF,FW",Westerlo,28,1993,8.5,3,0,0,14,5,2,31,5,10,2,0,0,47,7,9,43.8,Matches
Alessandro Albanese,be BEL,"MF,DF",Oostende,22,2000,6.2,3,2,1,9,9,3,21,8,14,0,0,0,58,1,1,50.0,Matches
Toby Alderweireld,be BEL,DF,Antwerp,33,1989,30.0,5,0,0,19,3,0,5,21,15,0,0,0,157,56,25,69.1,Matches
Alfonso,mz MOZ,MF,Oostende,22,1999,14.4,4,0,0,22,8,0,3,26,32,0,0,0,84,6,7,46.2,Matches
Teddy Alloh,fr FRA,DF,Eupen,20,2002,4.0,2,0,0,7,5,0,2,6,2,0,0,0,16,3,10,23.1,Matches
Dinis Almeida,pt POR,DF,Antwerp,27,1995,3.5,2,0,0,3,0,0,0,1,5,0,0,0,18,11,5,68.8,Matches
Éder Álvarez Balanta,co COL,MF,Club Brugge,29,1993,3.1,0,0,0,4,6,0,1,2,9,0,0,0,23,5,2,71.4,Matches
Steven Alzate,co COL,MF,Standard Liège,23,1998,21.9,5,0,0,27,28,1,3,18,37,0,0,0,159,29,21,58.0,Matches
Selim Amallah,ma MAR,"MF,FW",Standard Liège,25,1996,8.8,4,1,1,18,19,1,3,9,8,1,0,0,47,7,14,33.3,Matches
Thierry Ambrose,gp GLP,FW,Oostende,25,1997,25.1,7,0,0,27,55,19,48,4,13,2,0,0,128,91,95,48.9,Matches
Michael Amir Murillo,pa PAN,DF,Anderlecht,26,1996,27.5,3,0,0,21,19,11,47,24,27,0,0,0,151,52,35,59.8,Matches
Francis Amuzu,be BEL,"FW,DF",Anderlecht,22,1999,25.5,4,0,0,28,57,18,87,11,16,1,1,0,79,9,21,30.0,Matches
Stelios Andreou,cy CYP,DF,Charleroi,20,2002,20.0,3,0,0,12,10,1,1,37,26,0,0,0,119,20,24,45.5,Matches
Nilson Angulo,ec ECU,"DF,FW",Anderlecht,19,2003,0.3,2,0,0,2,1,0,0,0,1,0,0,0,5,0,2,0.0,Matches
Kelvin Arase,at AUT,"MF,DF",Oostende,23,1999,5.4,0,0,0,8,3,2,7,7,11,0,0,0,41,1,5,16.7,Matches
Kristian Arnstad,no NOR,MF,Anderlecht,18,2003,14.0,5,1,0,37,40,2,28,14,21,0,0,1,78,9,16,36.0,Matches
Tolu Arokodare,ng NGA,"FW,MF",Genk,21,2000,1.5,1,0,0,2,1,2,0,0,1,0,0,0,5,8,5,61.5,Matches
Gerardo Arteaga,mx MEX,DF,Genk,23,1998,31.2,8,1,0,22,30,3,42,51,36,0,0,0,189,26,26,50.0,Matches
Majeed Ashimeru,gh GHA,MF,Anderlecht,24,1997,20.5,4,0,0,24,40,0,4,30,33,0,0,0,163,3,8,27.3,Matches
David Atanga,gh GHA,"FW,MF",Oostende,25,1996,13.9,2,1,0,17,14,3,13,8,18,0,0,0,73,14,26,35.0,Matches

Christalino Atemona,de GER,"DF,MF",Kortrijk,20,2002,6.0,0,0,0,6,3,0,7,7,6,0,0,0,36,7,7,50.0,Matches
Lynnt Audoor,be BEL,"MF,DF",Club Brugge,18,2003,0.9,0,0,0,2,6,0,0,1,1,0,0,0,5,3,3,50.0,Matches
Felipe Avenatti,uy URU,FW,Kortrijk,29,1993,21.6,6,0,0,31,26,10,6,3,15,0,1,0,66,127,81,61.1,Matches
Gastón Ávila,ar ARG,DF,Antwerp,20,2001,10.9,0,0,0,14,23,0,20,24,23,0,1,0,69,15,6,71.4,Matches
Oussama El Azzouzi,ma MAR,MF,Union SG,21,2001,5.7,0,1,0,9,7,1,0,17,8,0,0,0,37,10,7,58.8,Matches
Abou-Malal Ba,fr FRA,MF,R.F.C. Seraing,24,1998,7.3,2,0,0,16,5,0,2,17,4,0,0,0,44,3,8,27.3,Matches
Youssouph Badji,sn SEN,"FW,MF",Charleroi,20,2001,13.2,2,0,0,15,20,4,5,3,4,0,0,0,44,70,45,60.9,Matches
Bilal Bafdili,be BEL,"MF,FW",Mechelen,17,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
Jonas Bager,dk DEN,DF,Charleroi,26,1996,19.1,4,0,0,21,12,1,3,33,27,0,0,0,109,42,31,57.5,Matches
Brandon Baiye,be BEL,MF,Eupen,21,2000,5.2,0,1,0,5,2,0,2,9,13,0,0,0,32,5,9,35.7,Matches
Michel-Ange Balikwisha,be BEL,FW,Antwerp,21,2001,20.7,0,0,0,19,54,8,80,20,26,0,0,0,110,1,6,14.3,Matches
William Balikwisha,cd COD,"MF,FW",Standard Liège,23,1999,25.6,3,1,1,23,39,8,67,45,32,0,0,1,180,4,9,30.8,Matches
Mateo Barać,hr CRO,DF,Oostende,28,1994,4.3,0,0,0,3,1,0,2,9,3,0,0,0,42,7,5,58.3,Matches
Jacob Barrett Laursen,dk DEN,"DF,MF",Standard Liège,27,1994,8.2,2,1,0,14,6,0,36,11,5,0,0,1,35,11,8,57.9,Matches
Jelle Bataille,be BEL,DF,Antwerp,23,1999,22.1,2,0,0,15,25,2,42,29,54,1,0,0,147,10,14,41.7,Matches
David Bates,sct SCO,DF,Mechelen,25,1996,22.1,6,1,1,33,11,1,0,28,16,0,0,0,118,55,36,60.4,Matches
Nick Bätzner,de GER,"FW,MF",Oostende,22,2000,21.0,4,0,0,19,14,5,53,12,23,0,0,0,127,12,33,26.7,Matches
Robert Bauer,de GER,DF,Sint-Truiden,27,1995,21.0,6,1,0,28,18,0,11,51,25,0,1,0,128,20,20,50.0,Matches
Nadhir Benbouali,dz ALG,"FW,MF",Charleroi,22,2000,8.3,3,0,0,15,4,9,1,1,1,0,0,0,12,32,46,41.0,Matches
Amine Benchaib,ma MAR,MF,Kortrijk,24,1998,0.8,0,1,0,2,0,0,4,0,1,0,0,0,1,0,1,0.0,Matches
Ján Bernát,sk SVK,MF,Westerlo,21,2001,2.2,3,0,0,6,7,0,8,1,1,1,0,0,10,1,5,16.7,Matches
Antoine Bernier,be BEL,"FW,MF",R.F.C. Seraing,24,1997,19.3,1,0,0,27,51,2,28,9,6,3,0,0,85,8,29,21.6,Matches
Mohamed Berte,be BEL,FW,Oostende,20,2002,3.0,1,0,0,6,11,1,1,0,6,0,0,0,23,3,3,50.0,Matches
Loïc Bessile,tg TOG,DF,Charleroi,23,1999,6.9,0,0,0,3,2,0,2,20,11,0,0,0,25,8,13,38.1,Matches
Loïc Bessile,tg TOG,DF,Eupen,23,1999,5.8,0,1,0,7,1,0,1,15,9,0,1,0,31,13,7,65.0,Matches

Lucas Bijker,nl NED,DF,Mechelen,29,1993,1.7,1,0,0,2,0,0,1,4,3,0,0,0,12,0,3,0.0,Matches
Nathan Bitumazala,fr FRA,"MF,DF",Eupen,19,2002,9.8,1,0,0,7,6,2,21,3,8,0,0,0,45,4,7,36.4,Matches
Eric Bocat,fr FRA,DF,Sint-Truiden,23,1999,15.7,2,0,0,11,25,0,42,37,20,1,0,0,125,10,14,41.7,Matches
Arnaud Bodart,be BEL,GK,Standard Liège,24,1998,34.0,2,1,0,1,1,0,0,2,0,0,0,0,32,11,0,100.0,Matches
Merveille Bokadi,cd COD,DF,Standard Liège,30,1992,30.7,4,0,0,18,28,0,2,37,37,1,1,1,235,44,36,55.0,Matches
Sinan Bolat,tr TUR,GK,Westerlo,33,1988,33.0,6,0,0,1,7,0,0,0,0,0,1,0,41,8,0,100.0,Matches
Boli Bolingoli-Mbombo,be BEL,DF,Mechelen,27,1995,13.7,6,0,0,22,10,2,16,28,26,0,0,0,101,18,17,51.4,Matches
Aleksandar Boljević,me MNE,"DF,FW",Standard Liège,26,1995,2.3,1,0,0,1,4,1,23,1,5,1,0,0,4,1,1,50.0,Matches
Adrien Bongiovanni,be BEL,MF,Charleroi,22,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Victor Boniface,ng NGA,FW,Union SG,21,2000,24.7,2,0,0,18,38,12,17,8,4,0,0,0,85,40,48,45.5,Matches
Viktor Boone,be BEL,DF,Union SG,24,1998,0.5,1,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0.0,Matches
Indy Boonen,be BEL,"FW,MF",Oostende,23,1999,4.3,1,0,0,2,6,1,15,1,7,0,0,0,21,2,5,28.6,Matches
Sammy Bossut,be BEL,GK,Zulte Waregem,36,1985,22.0,1,0,0,0,1,0,0,0,1,0,0,0,29,2,0,100.0,Matches
Louis Bostyn,be BEL,GK,Zulte Waregem,28,1993,12.0,0,0,0,1,1,0,0,0,0,0,1,0,14,2,0,100.0,Matches
Mehdi Boukamir,ma MAR,DF,Charleroi,18,2004,8.2,1,1,0,6,5,0,0,13,8,0,0,0,53,15,20,42.9,Matches
Frank Boya,cm CMR,MF,Sint-Truiden,26,1996,25.9,6,0,0,49,33,1,18,42,44,1,0,0,251,80,45,64.0,Matches
Dedryck Boyata,be BEL,DF,Club Brugge,31,1990,6.1,1,0,0,4,2,0,0,6,4,0,1,0,33,10,4,71.4,Matches
Stan Braem,be BEL,"FW,MF",Zulte Waregem,23,1998,2.2,1,0,0,2,1,0,2,1,4,0,0,0,11,4,11,26.7,Matches
Christian Brüls,be BEL,"MF,FW",Sint-Truiden,33,1988,14.0,2,0,0,12,17,0,98,14,25,0,0,0,85,19,18,51.4,Matches
Christian Brüls,be BEL,"MF,FW",Zulte Waregem,33,1988,11.2,3,1,1,19,20,1,63,7,12,0,0,0,85,8,8,50.0,Matches
Gianni Bruno,be BEL,FW,Sint-Truiden,30,1991,23.2,4,0,0,19,25,18,54,5,7,0,0,0,94,27,47,36.5,Matches
Massimo Bruno,be BEL,"MF,DF",Kortrijk,28,1993,13.4,3,0,0,15,13,2,26,7,19,0,1,0,107,7,6,53.8,Matches
Tajon Buchanan,ca CAN,"DF,FW",Club Brugge,23,1999,18.0,6,0,0,22,43,6,53,10,14,2,0,0,86,4,19,17.4,Matches
Denys Bunchukov,ua UKR,MF,R.F.C. Seraing,19,2003,3.3,0,0,0,8,0,0,1,3,4,0,1,0,18,2,11,15.4,Matches
Christian Burgess,eng ENG,DF,Union SG,30,1991,30.3,10,0,0,25,14,0,1,51,26,0,0,0,196,105,56,65.2,Matches

Jean Butez,fr FRA,GK,Antwerp,27,1995,34.0,1,0,0,1,4,0,0,1,0,0,1,0,55,9,1,90.0,Matches
Mathieu Cachbach,be BEL,MF,R.F.C. Seraing,21,2001,18.9,6,0,0,28,36,0,15,23,18,0,0,0,105,10,19,34.5,Matches
Alexandro Calut,be BEL,"DF,MF",Standard Liège,19,2003,0.3,2,1,1,2,0,0,0,0,0,0,0,0,2,0,0,,Matches
Cihan Çanak,tr TUR,"MF,FW",Standard Liège,17,2005,10.0,4,0,0,25,21,1,27,6,21,0,0,0,54,5,16,23.8,Matches
Brecht Capon,be BEL,"DF,MF",Oostende,34,1988,12.4,0,0,0,15,15,0,16,17,17,0,1,0,69,14,19,42.4,Matches
Rasmus Carstensen,dk DEN,DF,Genk,21,2000,0.6,0,0,0,1,0,0,3,1,1,0,0,0,9,0,0,,Matches
Nicolás Castro,ar ARG,"MF,FW",Genk,21,2000,6.5,0,0,0,6,8,2,15,7,13,0,0,0,41,1,1,50.0,Matches
Alessio Castro-Montes,be BEL,"DF,MF",Gent,25,1997,20.3,6,0,0,25,28,3,86,37,39,0,0,0,135,16,11,59.3,Matches
Nacer Chadli,be BEL,"MF,FW",Westerlo,32,1989,14.4,0,0,0,9,10,6,13,6,6,0,0,0,58,22,26,45.8,Matches
Youssef Challouk,be BEL,"DF,FW",Kortrijk,26,1995,0.1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,,Matches
Regan Charles-Cook,gd GRN,"FW,DF",Eupen,25,1997,24.5,4,0,0,33,54,11,50,12,26,0,2,0,133,15,37,28.8,Matches
Isaac Christie-Davies,wls WAL,MF,Eupen,24,1997,14.8,3,0,0,35,4,3,14,13,20,0,0,0,105,13,19,40.6,Matches
Gojko Cimirot,ba BIH,"MF,DF",Standard Liège,29,1992,23.4,6,1,1,19,12,0,14,25,22,0,0,0,156,1,6,14.3,Matches
Alessandro Ciranni,be BEL,DF,Zulte Waregem,26,1996,22.8,5,0,0,35,13,4,109,28,38,0,1,0,100,9,21,30.0,Matches
Valentin Cojocaru,ro ROU,GK,OH Leuven,26,1995,34.0,1,0,0,0,8,0,0,3,1,0,0,0,45,7,0,100.0,Matches
Sérgio Conceição,pt POR,"DF,MF",R.F.C. Seraing,25,1996,8.3,1,0,0,5,8,2,68,8,11,0,0,0,48,6,7,46.2,Matches
Jo Coppens,be BEL,GK,Sint-Truiden,31,1990,3.1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Kobe Corbanie,be BEL,"DF,MF",Antwerp,17,2005,0.4,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,50.0,Matches
Gaëtan Coucke,be BEL,GK,Mechelen,23,1998,28.9,0,0,0,1,3,0,0,0,0,0,0,0,46,7,0,100.0,Matches
Alessio da Cruz,,"MF,FW",Mechelen,25,1997,20.2,3,1,0,27,43,6,15,9,13,0,0,0,68,27,33,45.0,Matches
Carlos Cuesta,co COL,DF,Genk,23,1999,28.1,5,0,0,31,9,0,0,37,25,0,2,0,119,50,43,53.8,Matches
Hugo Cuypers,be BEL,FW,Gent,25,1997,29.8,1,0,0,10,17,18,15,16,30,0,0,0,86,60,83,42.0,Matches
Maxime D'Arpino,fr FRA,"DF,MF",Oostende,26,1996,1.3,0,0,0,0,2,0,14,0,7,0,0,0,14,1,0,100.0,Matches
Kristof D'haene,be BEL,"DF,MF",Kortrijk,32,1990,26.1,5,1,0,26,17,3,108,17,23,1,1,0,125,6,21,22.2,Matches
Robbie D'Haese,be BEL,"MF,DF",Oostende,23,1999,13.2,0,1,0,9,9,1,28,23,18,0,1,0,82,9,14,39.1,Matches

Erdon Daci,mk MKD,FW,Westerlo,24,1998,1.9,0,0,0,4,1,2,5,0,0,0,0,0,2,5,4,55.6,Matches
Jón Dagur Þorsteinsson,is ISL,"FW,MF",OH Leuven,23,1998,23.6,8,0,0,26,36,6,73,14,35,0,0,0,87,11,15,42.3,Matches
Ameen Al-Dakhil,be BEL,DF,Sint-Truiden,20,2002,15.5,5,1,1,18,3,0,2,25,16,0,0,0,87,19,12,61.3,Matches
Jesper Daland,no NOR,DF,Cercle Brugge,22,2000,30.1,8,0,0,36,20,2,2,36,26,0,1,0,235,101,49,67.3,Matches
Osher Davida,il ISR,"FW,MF",Standard Liège,21,2001,5.6,2,0,0,12,5,5,8,2,4,0,0,0,25,0,7,0.0,Matches
Jason Davidson,au AUS,DF,Eupen,31,1991,29.6,5,0,0,32,13,4,45,36,33,0,1,2,192,62,59,51.2,Matches
Davo,es ESP,"FW,MF",Eupen,27,1994,1.3,1,0,0,3,1,0,2,0,2,0,0,0,10,0,3,0.0,Matches
Laurens De Bock,be BEL,DF,Zulte Waregem,29,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Alexandre De Bruyn,be BEL,"MF,FW",Kortrijk,28,1994,1.3,0,0,0,0,0,0,3,2,1,0,0,0,5,0,0,,Matches
Wout De Buyser,be BEL,"DF,MF",Zulte Waregem,21,2001,0.4,1,0,0,1,0,0,5,1,0,0,0,0,3,0,0,,Matches
Maxim De Cuyper,be BEL,DF,Westerlo,21,2000,32.8,5,0,0,21,30,1,147,59,51,0,2,0,236,35,26,57.4,Matches
Ritchie De Laet,be BEL,DF,Antwerp,33,1988,23.0,11,0,0,33,18,5,27,35,17,1,0,0,121,25,21,54.3,Matches
Dion De Neve,be BEL,"DF,MF",Kortrijk,20,2002,5.0,0,0,0,2,2,0,17,3,10,0,0,0,35,3,7,30.0,Matches
Noah De Ridder,be BEL,DF,Gent,18,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Julien De Sart,be BEL,MF,Gent,27,1994,16.6,4,0,0,22,20,0,14,41,34,0,0,0,160,64,35,64.6,Matches
Zeno Debast,be BEL,DF,Anderlecht,18,2003,32.2,4,0,0,29,14,0,16,28,22,0,0,0,173,28,24,53.8,Matches
Robbe Decostere,be BEL,"DF,MF",Cercle Brugge,24,1998,8.6,2,0,0,11,7,0,10,8,4,0,1,0,39,8,15,34.8,Matches
Hannes Delcroix,be BEL,DF,Anderlecht,23,1999,12.9,1,0,0,8,5,0,7,23,16,0,0,0,63,24,22,52.2,Matches
Olivier Deman,be BEL,"DF,MF",Cercle Brugge,22,2000,27.1,7,1,1,33,41,2,89,45,50,1,0,0,173,36,24,60.0,Matches
Pape Demba Diop,sn SEN,MF,Zulte Waregem,18,2003,0.4,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,,Matches
Mahamadou Dembélé,fr FRA,MF,R.F.C. Seraing,23,1999,0.9,0,0,0,0,1,0,0,1,0,0,0,0,6,0,1,0.0,Matches
Dylan Demuynck,be BEL,"MF,FW",Zulte Waregem,18,2004,0.1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0.0,Matches
Kévin Denkey,tg TOG,FW,Cercle Brugge,21,2000,25.7,1,1,0,44,49,24,11,8,15,0,1,0,89,85,130,39.5,Matches
Jerome Deom,be BEL,MF,Eupen,23,1999,5.6,3,1,0,11,8,0,2,6,11,0,0,0,34,2,1,66.7,Matches
Laurent Depoitre,be BEL,FW,Gent,33,1988,10.4,0,0,0,7,16,6,4,1,5,1,0,0,22,41,33,55.4,Matches

Timothy Derijck,be BEL,DF,Zulte Waregem,35,1987,19.0,5,0,0,30,8,0,2,22,17,0,1,0,114,31,16,66.0,Matches
Anthony Descotte,be BEL,"FW,DF",Charleroi,18,2003,1.5,1,0,0,4,0,0,2,1,2,0,0,0,3,6,4,60.0,Matches
Cyriel Dessers,ng NGA,FW,Genk,27,1994,2.6,0,0,0,6,1,0,0,0,0,0,0,0,8,2,2,50.0,Matches
Dorian Dessoleil,be BEL,DF,Kortrijk,29,1992,12.5,4,0,0,13,6,2,0,20,9,0,1,0,57,18,20,47.4,Matches
Gilles Dewaele,be BEL,DF,Standard Liège,26,1996,7.8,4,0,0,8,5,2,19,16,12,0,1,0,39,9,11,45.0,Matches
Sieben Dewaele,be BEL,MF,Oostende,23,1999,14.7,3,0,0,25,15,0,25,24,40,0,1,0,96,6,21,22.2,Matches
Ibrahim Diakité,gn GUI,"DF,MF",Eupen,18,2003,3.8,1,0,0,13,5,1,5,4,5,0,0,0,21,5,4,55.6,Matches
Amadou Diawara,gn GUI,MF,Anderlecht,25,1997,17.3,7,1,1,20,18,1,3,20,28,0,0,0,111,5,6,45.5,Matches
Matisse Didden,be BEL,DF,Genk,20,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Tuur Dierckx,be BEL,"MF,FW",Westerlo,27,1995,13.7,3,0,0,7,22,3,57,14,8,0,0,0,74,6,16,27.3,Matches
Guillaume Dietsch,fr FRA,GK,R.F.C. Seraing,21,2001,23.0,0,0,0,0,3,0,0,1,0,0,0,0,32,8,0,100.0,Matches
Novatus Dismas,tz TAN,"DF,MF",Zulte Waregem,19,2002,25.8,10,1,1,52,24,1,65,51,46,0,1,1,171,37,29,56.1,Matches
Josué Doke,tg TOG,"DF,FW",Charleroi,18,2004,0.2,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,,Matches
Joren Dom,be BEL,"MF,DF",OH Leuven,32,1989,13.4,1,0,0,5,15,1,10,22,10,0,0,0,65,25,27,48.1,Matches
Jean-Luc Dompé,fr FRA,"FW,MF",Zulte Waregem,26,1995,3.2,0,0,0,0,2,1,16,0,1,0,0,0,12,0,1,0.0,Matches
Arnaud Dony,be BEL,"DF,MF",Union SG,18,2004,1.0,0,0,0,4,1,0,4,1,2,0,0,0,8,0,1,0.0,Matches
Nene Dorgeles,ml MLI,"FW,MF",Westerlo,19,2002,16.5,3,1,0,10,15,12,18,11,20,1,0,0,63,7,18,28.0,Matches
Denis Drăguș,ro ROU,FW,Standard Liège,23,1999,11.3,4,0,0,18,17,2,0,2,15,0,0,0,30,2,12,14.3,Matches
Oleksandr Drambaiev,ua UKR,"DF,MF",Zulte Waregem,21,2001,13.7,1,0,0,8,19,3,43,23,21,0,0,0,84,7,20,25.9,Matches
Anders Dreyer,dk DEN,FW,Anderlecht,24,1998,13.0,0,0,0,8,13,4,45,8,4,1,0,0,31,1,7,12.5,Matches
Olivier Dumont,be BEL,MF,Sint-Truiden,20,2002,4.1,1,0,0,6,3,0,6,6,1,0,0,0,27,1,5,16.7,Matches
Julien Duranville,be BEL,"DF,MF",Anderlecht,16,2006,3.0,1,0,0,3,2,0,10,1,4,0,0,0,7,0,0,,Matches
Ivan Durdov,hr CRO,"FW,MF",Oostende,22,2000,4.0,0,0,0,2,8,6,1,0,2,0,0,0,5,24,17,58.5,Matches
Noë Dussenne,be BEL,DF,Standard Liège,30,1992,26.9,6,0,0,30,29,1,7,53,43,0,0,0,155,70,29,70.7,Matches
Pierre Dwomoh,be BEL,MF,Oostende,18,2004,3.4,0,0,0,3,4,0,1,5,4,0,0,0,23,5,6,45.5,Matches

Nikolas Dyhr,dk DEN,DF,Kortrijk,21,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
Aron Dønnum,no NOR,"DF,MF",Standard Liège,24,1998,27.9,4,0,0,24,49,3,145,26,27,1,0,0,168,12,11,52.2,Matches
Dennis Eckert,de GER,FW,Union SG,25,1997,2.3,0,0,0,2,3,1,2,0,0,0,0,0,8,6,4,60.0,Matches
Jurgen Ekkelenkamp,nl NED,MF,Antwerp,22,2000,20.8,4,0,0,17,24,3,25,11,23,1,0,0,90,15,32,31.9,Matches
Simon Elisor,fr FRA,FW,R.F.C. Seraing,23,1999,6.6,6,0,0,3,10,5,0,3,1,1,0,0,10,26,32,44.8,Matches
Renaud Emond,be BEL,FW,Standard Liège,30,1991,6.3,3,1,1,10,14,4,0,1,4,0,0,0,14,9,14,39.1,Matches
Gustav Engvall,se SWE,"FW,DF",Mechelen,26,1996,0.8,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,,Matches
Sebastiano Esposito,it ITA,FW,Anderlecht,20,2002,5.7,0,0,0,13,11,4,25,4,6,0,0,0,24,4,13,23.5,Matches
Alieu Fadera,gm GAM,"FW,DF",Zulte Waregem,20,2001,30.2,7,0,0,56,106,28,56,20,76,1,0,0,180,17,48,26.2,Matches
Matias Fernandez-Pardo,be BEL,DF,Gent,17,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Karol Fila,pl POL,DF,Zulte Waregem,24,1998,10.7,4,0,0,20,5,0,12,19,19,0,1,0,87,16,13,55.2,Matches
Oleksandr Filin,ru RUS,DF,Eupen,26,1996,8.1,2,0,0,8,7,0,1,13,9,0,0,0,49,13,11,54.2,Matches
Viktor Fischer,dk DEN,FW,Antwerp,28,1994,0.7,0,0,0,1,2,1,2,0,0,0,0,0,3,1,0,100.0,Matches
Mathias Fixelles,be BEL,"MF,FW",Westerlo,25,1996,18.2,4,0,0,31,27,3,32,22,33,0,0,0,155,8,11,42.1,Matches
Malick Fofana,be BEL,"DF,FW",Gent,17,2005,8.5,0,0,0,2,20,2,19,5,9,0,0,0,33,1,6,14.3,Matches
Núrio Fortuna,ao ANG,DF,Gent,27,1995,10.8,2,0,0,23,19,4,22,17,15,0,1,0,57,14,7,66.7,Matches
Marlon Fossey,us USA,"MF,DF",Standard Liège,23,1998,18.7,3,0,0,11,14,4,31,36,20,0,1,0,89,21,21,50.0,Matches
Lyle Foster,za RSA,FW,Westerlo,21,2000,17.2,3,0,0,20,23,16,4,2,2,1,0,0,31,22,33,40.0,Matches
Guillaume François,be BEL,DF,Union SG,32,1990,5.0,2,1,0,13,3,0,9,7,7,0,0,0,30,3,3,50.0,Matches
Michael Frey,ch SUI,FW,Antwerp,28,1994,6.2,0,0,0,5,8,4,3,0,4,0,0,0,17,14,13,51.9,Matches
Matías Galarza,ar ARG,"MF,FW",Genk,20,2002,0.9,2,0,0,1,3,0,0,1,2,0,0,0,12,2,2,50.0,Matches
Timothy Galje,be BEL,GK,R.F.C. Seraing,21,2001,7.0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,Matches
João Gamboa,pt POR,"MF,DF",OH Leuven,25,1996,1.0,0,0,0,1,3,0,0,0,0,0,0,0,5,0,4,0.0,Matches
Zinho Gano,gw GNB,FW,Zulte Waregem,28,1993,16.9,1,0,0,23,29,15,3,1,2,0,0,0,31,95,65,59.4,Matches
Djeidi Gassama,fr FRA,"FW,MF",Eupen,18,2003,8.0,1,0,0,21,24,6,14,3,13,1,0,0,30,7,16,30.4,Matches

Yann Gboho,fr FRA,"FW,MF",Cercle Brugge,21,2001,7.7,0,0,0,13,15,1,3,2,5,0,0,0,52,8,22,26.7,Matches
