Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Mads Aaquist,dk DEN,MF,Viborg,26,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Jonas Abbew,dk DEN,DF,Nordsjælland,19,2002,3.9,0,1,0,0.0,0.26,0.00,0.00,,,0,0,Matches
Wessam Abou Ali,ps PLE,FW,Silkeborg,22,1999,0.6,0,1,1,100.0,1.55,1.55,0.00,0.00,,0,0,Matches
Francis Abu,gh GHA,MF,Nordsjælland,20,2001,11.3,0,23,7,30.4,2.04,0.62,0.00,0.00,,0,0,Matches
Simon Adingra,ci CIV,"FW,MF",Nordsjælland,19,2002,20.1,9,75,34,45.3,3.73,1.69,0.12,0.26,,0,0,Matches
Ali Adnan Kadhim,iq IRQ,"DF,MF",Vejle BK,27,1993,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Mel Agnero,ci CIV,FW,Nordsjælland,18,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Jakob Ahlmann Nielsen,dk DEN,"MF,DF",Aalborg,30,1991,15.3,1,14,2,14.3,0.92,0.13,0.07,0.50,,0,0,Matches
Raúl Albentosa,es ESP,DF,Vejle BK,32,1988,12.4,2,13,2,15.4,1.05,0.16,0.15,1.00,,0,0,Matches
Miiko Albornoz,cl CHI,"MF,DF",Vejle BK,30,1990,10.9,1,8,1,12.5,0.73,0.09,0.13,1.00,,0,0,Matches
Mads Albæk,dk DEN,MF,SønderjyskE,31,1990,26.9,0,27,4,14.8,1.00,0.15,0.00,0.00,,0,0,Matches
Alexander Ammitzbøll,dk DEN,FW,AGF,22,1999,0.8,0,2,1,50.0,2.61,1.30,0.00,0.00,,0,0,Matches
Akinkunmi Amoo,ng NGA,MF,FC Copenhagen,19,2002,0.7,1,3,1,33.3,4.29,1.43,0.33,1.00,,0,0,Matches
Daniel Andersen,dk DEN,GK,AGF,20,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Lucas Andersen,dk DEN,MF,Aalborg,26,1994,4.6,0,6,3,50.0,1.30,0.65,0.00,0.00,,0,0,Matches
Mikkel Andersen,dk DEN,GK,Viborg,32,1988,6.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Mikael Anderson,is ISL,MF,Midtjylland,23,1998,1.4,0,3,1,33.3,2.13,0.71,0.00,0.00,,0,0,Matches
Mikael Anderson,is ISL,MF,AGF,23,1998,17.3,5,41,14,34.1,2.37,0.81,0.12,0.36,,0,0,Matches
Hugo Andersson,se SWE,DF,Randers,22,1999,4.6,0,2,1,50.0,0.43,0.22,0.00,0.00,,0,0,Matches
Joel Andersson,se SWE,MF,Midtjylland,24,1996,28.4,1,11,3,27.3,0.39,0.11,0.09,0.33,,0,0,Matches
Mattias Andersson,se SWE,DF,Randers,23,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Aske Andresen,dk DEN,GK,Silkeborg,16,2005,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Jakob Ankersen,dk DEN,"MF,FW",Randers,30,1990,16.0,2,45,15,33.3,2.81,0.94,0.04,0.13,,0,0,Matches
Peter Ankersen,dk DEN,DF,FC Copenhagen,30,1990,22.2,1,18,4,22.2,0.81,0.18,0.06,0.25,,0,0,Matches
Oliver Antman,fi FIN,"FW,MF",Nordsjælland,19,2001,16.4,5,35,14,40.0,2.13,0.85,0.11,0.29,,1,1,Matches

Daniel Anyembe,ke KEN,DF,Viborg,23,1998,14.6,0,2,1,50.0,0.14,0.07,0.00,0.00,,0,0,Matches
Hákon Arnar Haraldsson,is ISL,"MF,FW",FC Copenhagen,18,2003,6.0,4,10,6,60.0,1.68,1.01,0.40,0.67,,0,0,Matches
Rocco Ascone,fr FRA,FW,Nordsjælland,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Yann Aurel Bisseck,de GER,DF,AGF,20,2000,23.5,1,17,6,35.3,0.72,0.26,0.06,0.17,,0,0,Matches
Khouma Babacar,sn SEN,FW,FC Copenhagen,28,1993,6.3,3,26,11,42.3,4.14,1.75,0.12,0.27,,0,0,Matches
Edgar Babayan,am ARM,"MF,FW",Vejle BK,25,1995,7.6,0,15,7,46.7,1.98,0.92,0.00,0.00,,0,0,Matches
Younes Bakiz,dk DEN,FW,Viborg,22,1999,21.8,3,51,12,23.5,2.33,0.55,0.06,0.25,,0,1,Matches
Roony Bardghji,se SWE,"MF,FW",FC Copenhagen,15,2005,8.2,2,24,10,41.7,2.91,1.21,0.08,0.20,,0,0,Matches
Atli Barkarson,is ISL,"MF,DF",SønderjyskE,20,2001,4.9,0,2,0,0.0,0.41,0.00,0.00,,,0,0,Matches
Tobias Bech,dk DEN,FW,Viborg,19,2002,19.5,3,63,21,33.3,3.23,1.08,0.05,0.14,,0,0,Matches
Asker Beck,dk DEN,MF,AGF,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Joe Bell,nz NZL,MF,Brøndby,22,1999,12.2,0,7,0,0.0,0.58,0.00,0.00,,,0,0,Matches
Anis Ben Slimane,tn TUN,"MF,FW",Brøndby,20,2001,27.6,2,52,18,34.6,1.89,0.65,0.04,0.11,,0,0,Matches
Pierre Bengtsson,se SWE,"DF,MF",FC Copenhagen,33,1988,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Lasse Berg Johnsen,no NOR,MF,Randers,21,1999,30.1,2,15,3,20.0,0.50,0.10,0.00,0.00,,2,2,Matches
Sofus Berger Brix,dk DEN,MF,Viborg,18,2003,4.3,0,4,3,75.0,0.93,0.69,0.00,0.00,,0,0,Matches
Emil Berggreen,dk DEN,FW,SønderjyskE,28,1993,4.0,4,15,8,53.3,3.73,1.99,0.27,0.50,,0,0,Matches
Victor Bernth Kristiansen,dk DEN,DF,FC Copenhagen,18,2002,18.4,0,7,2,28.6,0.38,0.11,0.00,0.00,,0,0,Matches
Mads Bidstrup,dk DEN,MF,Nordsjælland,20,2001,11.5,0,8,1,12.5,0.69,0.09,0.00,0.00,,0,0,Matches
Pep Biel,es ESP,"MF,FW",FC Copenhagen,24,1996,28.9,11,91,51,56.0,3.15,1.76,0.12,0.22,,0,0,Matches
Carl Björk,se SWE,FW,Brøndby,21,2000,3.6,0,11,6,54.5,3.05,1.66,0.00,0.00,,0,0,Matches
Peter Bjur,dk DEN,MF,Brøndby,21,2000,0.3,0,1,0,0.0,3.33,0.00,0.00,,,0,0,Matches
Nicolai Boilesen,dk DEN,DF,FC Copenhagen,29,1992,24.1,0,3,0,0.0,0.12,0.00,0.00,,,0,1,Matches
Jakob Bonde,dk DEN,MF,Viborg,27,1993,27.8,6,47,12,25.5,1.69,0.43,0.06,0.25,,3,4,Matches
Frederik Brandhof,dk DEN,MF,AGF,25,1996,19.1,1,17,6,35.3,0.89,0.31,0.06,0.17,,0,0,Matches

Mathias Brems,dk DEN,DF,Odense,19,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Jakob Breum,dk DEN,"MF,FW",Odense,17,2003,9.3,4,28,14,50.0,3.00,1.50,0.14,0.29,,0,0,Matches
Mark Brink,dk DEN,MF,Silkeborg,23,1998,29.7,1,16,4,25.0,0.54,0.13,0.06,0.25,,0,0,Matches
Nicolai Brock-Madsen,dk DEN,FW,Randers,28,1993,6.3,1,7,4,57.1,1.11,0.63,0.14,0.25,,0,0,Matches
Júnior Brumado,br BRA,"FW,MF",Midtjylland,22,1999,15.5,8,41,18,43.9,2.65,1.16,0.17,0.39,,1,1,Matches
Alexander Brunst,de GER,GK,Vejle BK,26,1995,21.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Andreas Bruus,dk DEN,"MF,DF",Brøndby,22,1999,25.0,3,27,10,37.0,1.08,0.40,0.11,0.30,,0,0,Matches
Filip Bundgaard,dk DEN,FW,Randers,17,2004,2.9,0,8,4,50.0,2.72,1.36,0.00,0.00,,0,0,Matches
Oliver Bundgaard,dk DEN,DF,Randers,20,2001,20.2,0,13,3,23.1,0.64,0.15,0.00,0.00,,0,0,Matches
Mustapha Bundu,sl SLE,"FW,MF",AGF,24,1997,16.7,3,18,6,33.3,1.08,0.36,0.17,0.50,,0,0,Matches
Nicolas Bürgy,ch SUI,DF,Viborg,25,1995,14.0,2,5,2,40.0,0.36,0.14,0.40,1.00,,0,0,Matches
Alexander Busch,dk DEN,DF,Silkeborg,18,2003,1.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Tobias Børkeeiet,no NOR,"DF,MF",Brøndby,22,1999,4.6,1,4,1,25.0,0.87,0.22,0.25,1.00,,0,0,Matches
Frederik Børsting,dk DEN,"MF,DF",Aalborg,26,1995,9.2,0,13,2,15.4,1.41,0.22,0.00,0.00,,0,0,Matches
Jens Cajuste,se SWE,MF,Midtjylland,21,1999,2.7,0,3,1,33.3,1.11,0.37,0.00,0.00,,0,0,Matches
André Calisir,am ARM,DF,Silkeborg,31,1990,15.2,0,1,0,0.0,0.07,0.00,0.00,,,0,0,Matches
Christian Cappis,us USA,MF,Brøndby,21,1999,11.8,4,19,9,47.4,1.62,0.77,0.21,0.44,,0,0,Matches
Patrik Carlgren,se SWE,GK,Randers,29,1992,32.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Frederik Carstensen,dk DEN,FW,Silkeborg,19,2002,0.3,1,2,1,50.0,6.00,3.00,0.50,1.00,,0,0,Matches
Rasmus Carstensen,dk DEN,DF,Silkeborg,20,2000,30.2,1,33,8,24.2,1.09,0.27,0.03,0.13,,0,0,Matches
Edward Chilufya,zm ZAM,"FW,MF",Midtjylland,21,1999,7.5,3,14,7,50.0,1.86,0.93,0.21,0.43,,0,0,Matches
Frederik Christensen,dk DEN,FW,Viborg,26,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Jacob Christensen,dk DEN,MF,Nordsjælland,20,2001,16.0,0,5,0,0.0,0.31,0.00,0.00,,,0,0,Matches
Magnus Christensen,dk DEN,MF,Aalborg,23,1997,9.2,0,8,1,12.5,0.87,0.11,0.00,0.00,,0,0,Matches
Oliver Christensen,dk DEN,GK,Odense,22,1999,6.0,0,0,0,,0.00,0.00,,,,0,0,Matches

Hans Christian Bernat,dk DEN,GK,Odense,20,2000,26.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Peter Christiansen,dk DEN,FW,SønderjyskE,21,1999,11.5,3,17,6,35.3,1.48,0.52,0.18,0.50,,0,0,Matches
Viktor Claesson,se SWE,"FW,MF",FC Copenhagen,29,1992,8.2,1,14,4,28.6,1.71,0.49,0.07,0.25,,0,0,Matches
Dion Cools,my MAS,"DF,MF",Midtjylland,25,1996,4.6,0,2,1,50.0,0.43,0.22,0.00,0.00,,0,0,Matches
Rezan Corlu,dk DEN,MF,Brøndby,23,1997,1.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Lasso Coulibaly,gh GHA,"FW,MF",Nordsjælland,18,2002,13.7,0,19,8,42.1,1.38,0.58,0.00,0.00,,0,0,Matches
Kevin Custovic,se SWE,MF,Vejle BK,21,2000,3.4,0,3,2,66.7,0.87,0.58,0.00,0.00,,0,0,Matches
Anthony D'Alberto,be BEL,"DF,MF",AGF,26,1994,13.9,0,10,2,20.0,0.72,0.14,0.00,0.00,,0,0,Matches
Adam Daghim,dk DEN,MF,AGF,15,2005,0.7,0,0,0,,0.00,0.00,,,,0,0,Matches
Jón Dagur Þorsteinsson,is ISL,"FW,MF",AGF,22,1998,18.4,3,38,12,31.6,2.07,0.65,0.08,0.25,,0,0,Matches
Gustav Dahl,dk DEN,DF,Silkeborg,25,1996,9.9,0,4,1,25.0,0.41,0.10,0.00,0.00,,0,0,Matches
Robin Dahl Østrøm,no NOR,DF,Odense,18,2002,7.3,0,2,0,0.0,0.28,0.00,0.00,,,0,0,Matches
Marc Dal Hende,dk DEN,"DF,MF",SønderjyskE,30,1990,29.1,1,18,6,33.3,0.62,0.21,0.06,0.17,,0,0,Matches
Eskild Dall,dk DEN,FW,AGF,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Henrik Dalsgaard,dk DEN,DF,Midtjylland,32,1989,26.9,2,13,3,23.1,0.48,0.11,0.15,0.67,,0,0,Matches
Mohammed Daramy,dk DEN,"MF,FW",FC Copenhagen,19,2002,4.8,2,16,7,43.8,3.33,1.45,0.13,0.29,,0,0,Matches
Viljormur Davidsen,fo FRO,DF,Vejle BK,30,1991,9.6,0,1,0,0.0,0.10,0.00,0.00,,,0,0,Matches
Kellian van der Kaap,nl NED,DF,Viborg,22,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Frans Dhia Putros,iq IRQ,DF,Viborg,28,1993,17.3,0,5,1,20.0,0.29,0.06,0.00,0.00,,0,0,Matches
Kevin Diks,nl NED,DF,FC Copenhagen,24,1996,21.7,2,22,6,27.3,1.02,0.28,0.09,0.33,,0,0,Matches
Mohamed Diomandé,ci CIV,MF,Nordsjælland,19,2001,16.7,3,30,6,20.0,1.80,0.36,0.10,0.50,,0,0,Matches
Marko Divkovic,hr CRO,FW,Brøndby,22,1999,14.6,1,36,10,27.8,2.47,0.69,0.03,0.10,,0,0,Matches
Dominic,br BRA,FW,Vejle BK,26,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Mouhamadou Drammeh,fr FRA,MF,Vejle BK,22,1999,14.8,1,37,7,18.9,2.51,0.47,0.03,0.14,,0,0,Matches
Anders Dreyer,dk DEN,FW,Midtjylland,23,1998,15.1,8,47,25,53.2,3.11,1.65,0.17,0.32,,0,0,Matches

Zach Duncan,au AUS,MF,AGF,21,2000,2.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Nikolas Dyhr,dk DEN,MF,Midtjylland,20,2001,15.2,1,13,5,38.5,0.86,0.33,0.08,0.20,,0,0,Matches
Mads Døhr Thychosen,dk DEN,DF,Nordsjælland,24,1997,15.7,1,7,4,57.1,0.45,0.25,0.14,0.25,,0,0,Matches
Mads Døhr Thychosen,dk DEN,"DF,MF",Midtjylland,24,1997,10.3,2,7,2,28.6,0.68,0.19,0.29,1.00,,0,0,Matches
Marvin Egho,at AUT,FW,Randers,27,1994,5.8,1,11,4,36.4,1.88,0.68,0.09,0.25,,0,0,Matches
Anosike Ementa,dk DEN,FW,Aalborg,19,2002,1.3,0,3,0,0.0,2.31,0.00,0.00,,,0,0,Matches
Dimitrios Emmanouilidis,gr GRE,"FW,MF",Vejle BK,20,2000,10.8,3,15,9,60.0,1.39,0.83,0.20,0.33,,0,0,Matches
Lukas Engel,dk DEN,DF,Silkeborg,22,1998,13.8,2,11,4,36.4,0.80,0.29,0.18,0.50,,0,0,Matches
Lukas Engel,dk DEN,"MF,FW",Vejle BK,22,1998,9.6,2,12,4,33.3,1.25,0.42,0.17,0.50,,0,0,Matches
Mads Enggaard,dk DEN,MF,Randers,17,2004,1.6,0,0,0,,0.00,0.00,,,,0,0,Matches
Julius Eskesen,dk DEN,"MF,FW",SønderjyskE,22,1999,6.5,0,6,0,0.0,0.92,0.00,0.00,,,0,0,Matches
Evander,br BRA,MF,Midtjylland,23,1998,26.0,12,80,36,45.0,3.07,1.38,0.10,0.22,,4,4,Matches
Saeid Ezatolahi,ir IRN,MF,Vejle BK,24,1996,10.0,1,14,1,7.1,1.40,0.10,0.07,1.00,,0,0,Matches
Wahid Faghir,dk DEN,FW,Vejle BK,18,2003,7.0,2,20,8,40.0,2.86,1.14,0.10,0.25,,0,0,Matches
Rasmus Falk,dk DEN,MF,FC Copenhagen,29,1992,20.2,0,9,3,33.3,0.45,0.15,0.00,0.00,,0,0,Matches
Oskar Fallenius,se SWE,MF,Brøndby,19,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Andri Fannar Baldursson,is ISL,MF,FC Copenhagen,19,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Joel Felix,dk DEN,DF,Silkeborg,23,1998,15.8,0,4,0,0.0,0.25,0.00,0.00,,,0,0,Matches
Max Fenger,dk DEN,"FW,MF",Odense,19,2001,18.2,6,25,12,48.0,1.38,0.66,0.24,0.50,,0,0,Matches
Pedro Ferreira,pt POR,MF,Aalborg,23,1998,13.3,2,13,2,15.4,0.98,0.15,0.15,1.00,,0,0,Matches
Bård Finne,no NOR,"FW,MF",SønderjyskE,26,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Nicolai Flø,dk DEN,GK,SønderjyskE,25,1995,8.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Adama Fofana,ci CIV,MF,Vejle BK,20,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Iver Fossum,no NOR,MF,Aalborg,25,1996,28.7,8,46,25,54.3,1.60,0.87,0.15,0.28,,1,1,Matches
Oscar Fraulo,dk DEN,MF,Midtjylland,17,2003,0.2,0,1,0,0.0,4.50,0.00,0.00,,,0,0,Matches

Emil Frederiksen,dk DEN,"FW,MF",SønderjyskE,20,2000,15.0,3,38,11,28.9,2.53,0.73,0.08,0.27,,0,0,Matches
Morten Frendrup,dk DEN,MF,Brøndby,20,2001,13.4,2,13,5,38.5,0.97,0.37,0.15,0.40,,0,0,Matches
Martin Frese,dk DEN,"DF,MF",Nordsjælland,23,1998,22.3,1,26,9,34.6,1.16,0.40,0.04,0.11,,0,0,Matches
Christian Friedrich,dk DEN,DF,Brøndby,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Mads Frøkjær-Jensen,dk DEN,MF,Odense,22,1999,17.8,6,49,19,38.8,2.75,1.07,0.12,0.32,,0,0,Matches
Anton Gaaei,dk DEN,FW,Viborg,18,2002,2.1,0,4,1,25.0,1.89,0.47,0.00,0.00,,0,0,Matches
Ruben Gabrielsen,no NOR,DF,FC Copenhagen,29,1992,2.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Jose Gallegos,us USA,"MF,FW",SønderjyskE,19,2001,6.9,1,14,7,50.0,2.03,1.01,0.07,0.14,,0,0,Matches
Christian Gammelgaard,dk DEN,FW,Vejle BK,18,2003,0.3,0,1,0,0.0,3.10,0.00,0.00,,,0,0,Matches
Stefan Gartenmann,dk DEN,DF,SønderjyskE,24,1997,31.0,2,14,3,21.4,0.45,0.10,0.14,0.67,,0,0,Matches
Alex Gersbach,au AUS,"DF,MF",AGF,24,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Robert Gojani,se SWE,MF,Silkeborg,28,1992,16.2,0,20,5,25.0,1.24,0.31,0.00,0.00,,0,0,Matches
Lorenzo Gordinho,za RSA,DF,Viborg,27,1994,2.9,0,1,0,0.0,0.35,0.00,0.00,,,0,0,Matches
Kamil Grabara,pl POL,GK,FC Copenhagen,22,1999,32.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Daniel Granli,no NOR,"DF,MF",Aalborg,27,1994,24.1,1,10,2,20.0,0.42,0.08,0.10,0.50,,0,0,Matches
Simon Graves Jensen,dk DEN,DF,Randers,22,1999,18.6,0,6,1,16.7,0.32,0.05,0.00,0.00,,0,0,Matches
Mads Greve,dk DEN,DF,Vejle BK,31,1989,1.9,0,1,1,100.0,0.53,0.53,0.00,0.00,,0,0,Matches
Mathias Greve,dk DEN,"MF,FW",Brøndby,26,1995,10.3,1,11,4,36.4,1.07,0.39,0.09,0.25,,0,0,Matches
Mathias Greve,dk DEN,MF,Randers,26,1995,2.7,1,4,1,25.0,1.46,0.36,0.25,1.00,,0,0,Matches
Jay-Roy Grot,nl NED,FW,Viborg,23,1998,17.7,5,44,18,40.9,2.49,1.02,0.11,0.28,,0,0,Matches
Sten Grytebust,no NOR,GK,Vejle BK,31,1989,10.0,0,1,0,0.0,0.10,0.00,0.00,,,0,0,Matches
Albert Grønbaek,dk DEN,"MF,FW",AGF,20,2001,21.9,3,40,10,25.0,1.83,0.46,0.08,0.30,,0,0,Matches
Jeppe Grønning,dk DEN,MF,Viborg,30,1991,25.1,1,11,2,18.2,0.44,0.08,0.09,0.50,,0,0,Matches
Sebastian Grønning,dk DEN,FW,Viborg,24,1997,15.7,6,54,20,37.0,3.44,1.27,0.11,0.30,,0,0,Matches
Thomas Gundelund,dk DEN,"DF,MF",Vejle BK,19,2001,5.1,0,2,0,0.0,0.39,0.00,0.00,,,0,0,Matches

Eduardo Dos Santos Haesler,de GER,GK,Nordsjælland,22,1999,5.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Anders Hagelskjær,dk DEN,DF,Aalborg,24,1997,20.7,1,3,1,33.3,0.14,0.05,0.33,1.00,,0,0,Matches
Lucas Hägg-Johansson,se SWE,GK,Vejle BK,27,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Vito Hammershøy-Mistrati,dk DEN,"MF,FW",Randers,29,1992,27.3,7,54,23,42.6,1.98,0.84,0.11,0.26,,1,2,Matches
Marcus Hannesbo,dk DEN,MF,Aalborg,19,2002,2.1,0,1,1,100.0,0.48,0.48,0.00,0.00,,0,0,Matches
Andreas Hansen,dk DEN,GK,Nordsjælland,25,1995,15.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Casper Hansen,dk DEN,FW,Aalborg,19,2002,1.4,0,1,1,100.0,0.74,0.74,0.00,0.00,,0,0,Matches
Jesper Hansen,dk DEN,GK,AGF,36,1985,31.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Kian Hansen,dk DEN,DF,Nordsjælland,32,1989,22.2,2,10,3,30.0,0.45,0.14,0.20,0.67,,0,0,Matches
Mads Hansen,dk DEN,"FW,MF",Nordsjælland,19,2002,11.6,2,27,7,25.9,2.34,0.61,0.07,0.29,,0,0,Matches
Mads Hansen,dk DEN,FW,Midtjylland,19,2002,0.8,1,2,1,50.0,2.43,1.22,0.50,1.00,,0,0,Matches
Mads Hansen,dk DEN,MF,SønderjyskE,20,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Hallur Hansson,fo FRO,"MF,FW",Vejle BK,29,1992,6.0,1,3,1,33.3,0.50,0.17,0.33,1.00,,0,0,Matches
Sebastian Hausner,dk DEN,DF,AGF,21,2000,20.6,0,6,1,16.7,0.29,0.05,0.00,0.00,,0,0,Matches
Simon Hedlund,se SWE,"FW,MF",Brøndby,28,1993,23.9,4,47,19,40.4,1.96,0.79,0.06,0.16,,1,1,Matches
Henrik Heggheim,no NOR,DF,Brøndby,20,2001,11.4,1,2,1,50.0,0.17,0.09,0.50,1.00,,0,0,Matches
Nicklas Helenius,dk DEN,FW,Silkeborg,30,1991,28.0,17,76,38,50.0,2.72,1.36,0.20,0.39,,2,2,Matches
Mads Hermansen,dk DEN,GK,Brøndby,21,2000,29.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Heron,br BRA,"DF,MF",Vejle BK,20,2000,9.9,0,5,1,20.0,0.51,0.10,0.00,0.00,,0,0,Matches
Lundrim Hetemi,dk DEN,MF,Vejle BK,21,2000,11.5,0,3,1,33.3,0.26,0.09,0.00,0.00,,0,0,Matches
Malthe Hojholt,dk DEN,MF,Aalborg,20,2001,25.5,0,12,2,16.7,0.47,0.08,0.00,0.00,,0,0,Matches
Emil Holm,se SWE,"DF,MF",SønderjyskE,21,2000,23.7,3,29,8,27.6,1.23,0.34,0.07,0.25,,1,1,Matches
Martin Huldahl,dk DEN,FW,Viborg,16,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Daniel Høegh,dk DEN,DF,Midtjylland,30,1991,16.8,0,14,5,35.7,0.83,0.30,0.00,0.00,,0,0,Matches
Rasmus Højlund,dk DEN,FW,FC Copenhagen,18,2003,3.4,0,8,2,25.0,2.35,0.59,0.00,0.00,,0,0,Matches

Hans Høllsberg,dk DEN,MF,Vejle BK,19,2002,8.0,0,2,0,0.0,0.25,0.00,0.00,,,0,0,Matches
Tarik Ibrahimagic,dk DEN,MF,Odense,20,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Frederik Ibsen,dk DEN,DF,Brøndby,21,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Frederik Ihler,dk DEN,FW,AGF,18,2003,0.8,1,1,1,100.0,1.30,1.30,1.00,1.00,,0,0,Matches
Gustav Isaksen,dk DEN,"FW,MF",Midtjylland,20,2001,21.5,5,60,31,51.7,2.80,1.44,0.08,0.16,,0,0,Matches
Mihajlo Ivančević,rs SRB,DF,Odense,22,1999,7.1,0,1,0,0.0,0.14,0.00,0.00,,,0,0,Matches
Jens Jakob Thomasen,dk DEN,MF,Odense,25,1996,24.4,2,24,5,20.8,0.98,0.20,0.08,0.40,,0,0,Matches
Manjrekar James,ca CAN,DF,Vejle BK,27,1993,11.6,0,3,1,33.3,0.26,0.09,0.00,0.00,,0,0,Matches
Alassana Jatta,gm GAM,FW,Viborg,22,1999,6.4,3,18,6,33.3,2.81,0.94,0.17,0.50,,0,0,Matches
Issam Jebali,tn TUN,"MF,FW",Odense,29,1991,20.8,10,67,25,37.3,3.22,1.20,0.10,0.28,,3,5,Matches
Elias Jelert,dk DEN,DF,FC Copenhagen,18,2003,4.9,0,3,0,0.0,0.62,0.00,0.00,,,0,0,Matches
Isak Jensen,dk DEN,"FW,MF",SønderjyskE,17,2003,6.5,0,9,2,22.2,1.39,0.31,0.00,0.00,,0,0,Matches
